Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
ilvY,298,1789,2.5857691515897465,1491,Unchanged,100000,3
ilvA,2139,6251,1.5471505200137825,4112,Unchanged,100000,3
ilvD,2843,7254,1.3513626462927524,4411,Unchanged,100000,3
ilvE,2849,3534,0.31084641822776565,685,Unchanged,100000,3
ilvM,57,152,1.4150374992788437,95,Unchanged,100000,3
ilvL,5,1,-2.321928094887362,-4,Unchanged,100000,3
yifB,119,1868,3.9724609764017185,1749,Upregulated,100000,3
maoP,2495,247,-3.336456868639945,-2248,Downregulated,100000,3
yieP,1498,800,-0.9049657186840264,-698,Unchanged,100000,3
hsrA,532,1203,1.177138491674887,671,Unchanged,100000,3
rbsR,261,826,1.6620919748495608,565,Unchanged,100000,3
rbsK,955,894,-0.09522590173979334,-61,Unchanged,100000,3
rbsB,965,1040,0.10798268087301181,75,Unchanged,100000,3
